,id,bot_score
3261,1497194848050638848,0.75
3265,1497195107233464320,0.75
3266,1497195251123232768,0.75
3269,1497196040847564800,0.15
3271,1497196238135230464,0.75
3273,1497196588036669440,0.75
3274,1497196771529093120,0.75
3275,1497196960515694592,0.75
3280,1497197096092377088,0.75
3281,1497197099892547584,0.53
3283,1497197327433433088,0.75
3285,1497197460560642048,0.75
3289,1497197790371352576,0.05
3290,1497197818796122112,0.75
3293,1497198133922570240,0.75
3297,1497198411866460160,0.75
3300,1497198758269882368,0.75
3301,1497198843397648384,0.1
3304,1497199150126878720,0.75
3310,1497199552159711232,0.15
3313,1497199682841366528,0.1
3317,1497200388629479424,0.85
3319,1497200480119894016,0.28
3325,1497201199136841728,0.1
3334,1497203086473011200,0.03
3336,1497203540330229760,0.1
3338,1497203726922268672,0.0
3339,1497203853393080320,0.85
3346,1497204705692377088,0.08
3347,1497204890317246464,0.04
3348,1497205145947770880,0.68
3350,1497205217984659456,0.07
3353,1497205426571649024,0.0
3357,1497206355903401984,0.1
3358,1497206660787585024,0.1
3363,1497207360888221696,0.27
3368,1497208256049004544,0.11
3379,1497209954855444480,0.22
3384,1497210357495914496,0.04
3390,1497211303181627392,0.27
3393,1497211982394572800,0.06
3394,1497212075344543744,0.02
3398,1497212946174328832,0.07
3399,1497213003896221696,0.17
3405,1497213916966838272,0.27
3410,1497214544011149312,0.14
3416,1497214930612752384,0.48
3429,1497215716713500672,0.08
3436,1497216164346347520,0.09
3438,1497216336178651136,0.14
3448,1497217172321759232,0.06
3475,1497219626283024384,0.33
3481,1497220206023696384,0.12
3482,1497220297334083584,0.18
3483,1497220368808886272,0.07
3487,1497220803292631040,0.14
3492,1497221398355267584,0.12
3498,1497221934521909248,0.09
3502,1497222294481272832,0.25
3504,1497222332082962432,0.7000000000000001
3505,1497222383454892032,0.23
3534,1497225520764932096,0.13
3538,1497226394702856192,0.24
3540,1497226481205923840,0.4
3544,1497226759514861568,0.06
3563,1497229262620819456,0.2
3579,1497230577426128896,0.27
3587,1497231197914779648,0.15
3608,1497232345438597120,0.07
3619,1497233909079232512,0.32
3625,1497234382985310208,0.26
3633,1497235352343302144,0.14
3635,1497235620686700544,0.08
3636,1497235792019824640,0.16
3642,1497236712233177088,0.81
3645,1497236942957776896,0.17
3653,1497237582740000768,0.07
3657,1497238364461977600,0.14
3662,1497238975899176960,0.86
3687,1497240938925551616,0.0
3691,1497241411611070464,0.2
3704,1497242331958767616,0.11
3710,1497243115878424576,0.46
3718,1497243624958218240,0.27
3726,1497244076554559488,0.04
3731,1497244401998860288,0.0
3744,1497245136786714624,0.64
3795,1497249246600470528,0.07
3806,1497249942980763648,0.02
3812,1497250368966643712,0.11
3816,1497250783397650432,0.27
3836,1497252899298021376,0.13
3843,1497253741044527104,0.73
3874,1497257934706941952,0.27
3875,1497258121814679552,0.2
3878,1497258786301480960,0.07
3882,1497259392013504512,0.31
3883,1497259607500079104,0.33
3885,1497259724714442752,0.76
3895,1497260730508316672,0.17
3904,1497261163070951424,0.02
3923,1497262589151166464,0.05
3925,1497262826976600064,0.25
3933,1497263824956956672,0.21
3934,1497263890643795968,0.05
3942,1497264719765323776,0.13
3958,1497266378692300800,0.22
3969,1497266910106427392,0.13
3975,1497267437091409920,0.21
3980,1497268219773693952,0.39
3985,1497268523063988224,0.22
4005,1497270147605676032,0.24
4012,1497270721088790528,0.32
4019,1497271373764431872,0.2
4021,1497271706225893376,0.36
4023,1497271870025965568,0.29
4027,1497272411229761536,0.36
4034,1497273611031576576,0.21
4040,1497274828511870976,0.28
4048,1497276468555964416,0.96
4056,1497277287384817664,0.2
4068,1497278841932300288,0.54
4069,1497278934018191360,0.17
4071,1497279063693479936,0.36
4097,1497284668558872576,0.11
4116,1497287443782897664,0.2
4118,1497287727641149440,0.30000000000000004
4119,1497288146496540672,0.15
4122,1497289078340997120,0.27
4140,1497292414742052864,0.27
4164,1497297238921396224,0.11
4174,1497300805665366016,0.39
4179,1497301872545349632,0.17
4182,1497302391682744320,0.04
4183,1497302449467494400,0.25
4189,1497303378309021696,0.06
4221,1497307502429745152,0.24
4226,1497308637580169216,0.14
4239,1497313966241959936,0.19
4242,1497314200846147584,0.58
4243,1497314322078392320,0.03
4255,1497319216336478208,0.41000000000000003
4271,1497323247624413184,0.1
4277,1497324037814501376,0.13
4280,1497324080902639616,0.06
4281,1497324114645770240,0.17
4300,1497330749812449280,0.02
4304,1497332699236765696,0.09
4307,1497333152758603776,0.04
4309,1497333949084884992,0.22
4335,1497345098182533120,0.03
4336,1497345199802093568,0.7000000000000001
4338,1497346037891354624,0.25
4341,1497346318670438400,0.18
4342,1497346687387697152,0.25
4344,1497347716472467456,0.13
4347,1497348557724082176,0.13
4349,1497349359599755264,0.06
4365,1497354342424186880,0.35000000000000003
4380,1497356916661571584,0.13
4387,1497357408129400832,0.22
4402,1497360912310808576,0.84
4407,1497361512977121280,0.29
4410,1497362054923132928,0.02
4468,1497372714423635968,0.06
4486,1497377459116953600,0.13
4495,1497378931497787392,0.33
4508,1497383890432008192,0.22
4509,1497384036758609920,0.03
4512,1497384559964753920,0.46
4513,1497384674850607104,0.05
4516,1497386845273202688,0.16
4517,1497387289563242496,0.68
4519,1497387469347889152,0.05
4529,1497389796187983872,0.16
4541,1497391491114696704,0.16
4552,1497394038256717824,0.16
4560,1497395753093767168,0.16
4563,1497397849826349056,0.02
4564,1497398212348370944,0.22
4570,1497399586435993600,0.02
4577,1497401276669300736,0.26
4578,1497401770821120000,0.08
4584,1497403396998893568,0.12
4588,1497404550319198208,0.74
4593,1497405786011496448,0.72
4620,1497411155387727872,0.07
4623,1497411373193580544,0.24
4625,1497411742950854656,0.07
4629,1497412743841910784,0.06
4641,1497414785415397376,0.75
4664,1497416129522053120,0.75
4670,1497417072481284096,0.1
4672,1497417362139582464,0.8300000000000001
4673,1497417402220384256,0.04
4674,1497417642637991936,0.25
4675,1497419001915330560,0.65
4684,1497422327830937600,0.25
4689,1497423251424755712,0.12
4697,1497423943065497600,0.4
4698,1497424090335899648,0.08
4702,1497424407295234048,0.12
4709,1497425658208612352,0.2
4712,1497425906834366464,0.18
4724,1497426823143063552,0.1
4749,1497431554448310272,0.16
4758,1497432954229833728,0.09
4761,1497433176293392384,0.1
4774,1497436219621326848,0.43
4799,1497439275176153088,0.07
4803,1497439958264696832,0.06
4807,1497440550646992896,0.93
4818,1497442113608622080,0.25
4819,1497442151495618560,0.27
4839,1497444260085383168,0.04
4840,1497444481632669696,0.1
4845,1497445169833988096,0.16
4846,1497445376009199616,0.04
4848,1497445671879675904,0.16
4851,1497445983449661440,0.28
4855,1497446459377008640,0.2
4864,1497448555203612672,0.13
4887,1497453207991185408,0.78
4889,1497453622963351552,0.77
4902,1497454967560364032,0.27
4937,1497456828346634240,0.21
4947,1497457293465726976,0.64
4983,1497460033596051456,0.16
5057,1497467874134433792,0.38
5068,1497469663286108160,0.06
5069,1497469692717547520,0.16
5071,1497469999413280768,0.5700000000000001
5082,1497471759704104960,0.13
5088,1497472558660263936,0.33
5100,1497474490053238784,0.18
5104,1497475079919345664,0.06
5137,1497479922775834624,0.15
5138,1497479923912613888,0.16
5139,1497480164812500992,0.16
5140,1497480188661309440,0.11
5156,1497482136923918336,0.27
5174,1497485566081970176,0.27
5195,1497488631275028480,0.15
5201,1497489212983050240,0.06
5204,1497489431208599552,0.04
5236,1497493315767443456,0.11
5238,1497493416829198336,0.02
5242,1497494026815086592,0.08
5246,1497494750408192000,0.27
5248,1497495456795922432,0.08
5250,1497495617622495232,0.91
5251,1497495846866333696,0.77
5254,1497496844833894400,0.28
5260,1497497864771145728,0.27
5262,1497498084728717312,0.01
5277,1497499966574583808,0.2
5284,1497500615928614912,0.09
