,tweet_type,bot,like_count,reply_count,retweet_count
2303,original,0.0,0,0,0
2305,original,0.0,3,0,2
2317,original,0.0,1,0,0
2321,original,0.0,0,0,0
2324,original,0.0,3,0,1
2334,original,0.0,1,0,0
2346,original,0.0,5,1,0
2354,original,0.0,9,1,6
2356,original,0.0,0,1,0
2372,original,0.0,1,0,0
2382,original,0.0,0,0,0
2385,original,0.0,0,0,0
2394,original,0.0,3,1,1
2398,original,0.0,3,0,1
2404,original,0.0,0,0,0
2406,original,0.0,1,0,0
2424,original,0.0,0,0,0
2425,original,0.0,0,0,0
2428,original,0.0,1,2,0
2443,original,0.0,0,3,0
2445,original,0.0,5,0,3
2446,original,0.0,1,0,0
2447,original,0.0,0,0,0
2450,original,0.0,0,1,0
2468,original,0.0,0,0,0
2493,original,0.0,3,0,0
2501,original,0.0,0,0,0
2503,original,0.0,1,0,0
2513,original,0.0,1,0,0
2519,original,0.0,3,0,1
2559,original,0.0,0,0,0
2563,original,0.0,1,0,0
2570,original,0.0,4,1,0
2574,original,0.0,7,1,2
2580,original,0.0,0,0,0
2582,original,0.0,0,0,0
2585,original,0.0,0,0,0
2588,original,0.0,19,2,1
2591,original,0.0,61,4,26
2593,original,0.0,0,0,0
2594,original,0.0,0,0,0
2595,original,0.0,12,14,2
2597,original,0.0,1,0,0
2598,original,0.0,3,1,0
2604,original,0.0,0,0,0
2621,original,1.0,0,0,0
2627,original,0.0,1,0,0
2651,original,0.0,0,0,0
2662,original,0.0,0,0,0
2668,original,0.0,1,0,1
2669,original,0.0,0,0,0
2677,original,1.0,0,0,0
2686,original,0.0,1,0,0
2703,original,0.0,0,0,0
2706,original,0.0,0,1,0
2707,original,0.0,0,0,0
2711,original,0.0,0,0,0
2713,original,0.0,1,0,0
2714,original,0.0,6,1,2
2716,original,0.0,82,7,26
2718,original,0.0,671,24,286
2721,original,0.0,11,0,3
2725,original,0.0,43,1,3
2738,original,0.0,0,0,0
2740,original,0.0,32,0,12
2742,original,0.0,0,0,0
2744,original,0.0,0,0,0
2754,original,0.0,8,1,2
2784,original,1.0,1,1,0
2790,original,0.0,0,0,0
2804,original,0.0,14,1,6
2807,original,0.0,1,0,0
2809,original,0.0,2,1,1
2825,original,0.0,1,0,0
2837,original,0.0,0,0,0
2844,original,0.0,35,7,17
2846,original,0.0,3,0,0
2848,original,0.0,0,0,0
2854,original,0.0,0,0,0
2857,original,1.0,0,0,0
2861,original,0.0,0,0,1
2864,original,0.0,2,1,1
2866,original,0.0,0,0,0
2873,original,0.0,1,3,1
2875,original,0.0,3,1,1
2876,original,0.0,0,0,0
2879,original,0.0,0,0,0
2882,original,0.0,0,0,0
2884,original,0.0,0,0,0
2889,original,0.0,2,0,5
2900,original,0.0,0,0,0
2910,original,0.0,0,0,0
2917,original,0.0,120,16,18
2918,original,0.0,0,0,0
2920,original,0.0,27,1,2
2924,original,0.0,0,0,0
2933,original,0.0,1,0,0
2938,original,0.0,11,0,5
2965,original,0.0,1,0,0
2977,original,0.0,0,0,0
2981,original,0.0,7,3,1
2988,original,0.0,11,3,4
2990,original,0.0,26,3,9
2992,original,0.0,2,1,1
2994,original,1.0,0,0,0
2998,original,0.0,1,13,0
3020,original,0.0,0,0,0
3022,original,0.0,0,0,0
3024,original,1.0,0,0,0
3038,original,0.0,2,0,0
3051,original,0.0,1,0,0
3085,original,0.0,0,0,0
3086,original,0.0,0,0,0
3093,original,0.0,2,0,0
3104,original,0.0,0,0,0
3111,original,0.0,1,0,0
3122,original,0.0,0,0,0
3123,original,0.0,0,0,0
3127,original,0.0,0,0,0
3133,original,0.0,4,2,0
3135,original,0.0,39,2,6
3141,original,1.0,3,8,0
3142,original,0.0,2,1,0
3143,original,1.0,0,0,1
3144,original,1.0,1,0,0
3147,original,1.0,0,0,0
3151,original,1.0,0,0,0
3152,original,1.0,0,0,0
3155,original,1.0,0,0,0
3157,original,1.0,0,0,0
3158,original,1.0,0,0,0
3160,original,1.0,0,0,0
3162,original,1.0,0,0,0
3164,original,1.0,0,0,0
3165,original,1.0,1,0,1
3166,original,1.0,1,0,0
3167,original,0.0,0,0,1
3168,original,1.0,0,0,0
3169,original,0.0,1,0,1
3171,original,1.0,0,0,0
3174,original,1.0,0,0,0
3175,original,0.0,2,0,2
3176,original,1.0,0,0,0
3178,original,1.0,0,0,0
3180,original,1.0,0,0,1
3183,original,0.0,0,0,1
3185,original,0.0,0,0,0
3186,original,1.0,0,0,0
3188,original,0.0,0,0,0
3189,original,1.0,2,0,1
3190,original,1.0,0,0,0
3191,original,1.0,1,0,1
3192,original,0.0,0,0,0
3195,original,1.0,0,0,0
3197,original,0.0,0,1,0
3198,original,1.0,2,0,1
3199,original,0.0,1,0,0
3200,original,1.0,0,0,1
3201,original,0.0,0,0,1
3202,original,1.0,0,0,0
3203,original,1.0,0,0,0
3206,original,1.0,0,0,0
3209,original,1.0,0,0,0
3212,original,1.0,1,0,0
3213,original,1.0,0,0,0
3214,original,1.0,0,0,0
3215,original,1.0,0,0,0
3217,original,1.0,0,0,0
3219,original,1.0,0,0,0
3220,original,0.0,0,0,0
3221,original,1.0,0,0,0
3227,original,1.0,0,0,0
3231,original,0.0,1,0,0
3234,original,1.0,0,0,0
3243,original,1.0,1,0,0
3244,original,1.0,0,0,0
3249,original,0.0,116,13,17
3252,original,0.0,0,0,0
3261,original,1.0,0,0,0
3265,original,1.0,0,0,0
3266,original,1.0,0,0,0
3269,original,0.0,0,0,0
3271,original,1.0,0,0,0
3273,original,1.0,1,0,0
3274,original,1.0,0,0,0
3275,original,1.0,0,0,0
3280,original,1.0,1,0,0
3281,original,1.0,1,0,0
3283,original,1.0,0,0,0
3285,original,1.0,1,0,0
3289,original,0.0,2,0,0
3290,original,1.0,1,0,0
3293,original,1.0,1,0,0
3297,original,1.0,0,0,0
3300,original,1.0,0,0,0
3301,original,0.0,0,0,0
3304,original,1.0,0,0,0
3310,original,0.0,0,0,0
3313,original,0.0,1,0,0
3317,original,1.0,217,40,25
3319,original,0.0,1,0,0
3325,original,0.0,0,0,0
3334,original,0.0,17,2,4
3336,original,0.0,0,1,0
3338,original,0.0,9,0,4
3339,original,1.0,2,1,1
3346,original,0.0,1,0,0
3347,original,0.0,1,0,0
3348,original,1.0,0,0,0
3350,original,0.0,36,1,7
3353,original,0.0,0,0,1
3357,original,0.0,2,0,0
3358,original,0.0,2,0,0
3363,original,0.0,0,0,0
3368,original,0.0,1,0,0
3379,original,0.0,2,0,0
3384,original,0.0,0,0,0
3390,original,0.0,0,3,0
3393,original,0.0,1,0,0
3394,original,0.0,0,0,0
3398,original,0.0,0,0,0
3399,original,0.0,0,0,0
3405,original,0.0,0,0,1
3410,original,0.0,0,0,0
3416,original,0.0,13,0,6
3429,original,0.0,0,0,0
3436,original,0.0,0,0,0
3438,original,0.0,4,0,1
3448,original,0.0,2,2,2
3475,original,0.0,11,3,1
3481,original,0.0,1,0,0
3482,original,0.0,1,2,1
3483,original,0.0,1,0,0
3487,original,0.0,10,2,7
3492,original,0.0,1,0,0
3498,original,0.0,1,0,0
3502,original,0.0,1,0,0
3504,original,1.0,0,0,0
3505,original,0.0,0,0,0
3534,original,0.0,6,1,1
3538,original,0.0,9,2,3
3540,original,0.0,3,1,0
3544,original,0.0,0,0,0
3563,original,0.0,0,0,0
3579,original,0.0,1,0,0
3587,original,0.0,0,0,0
3608,original,0.0,1,0,0
3619,original,0.0,0,0,1
3625,original,0.0,1,0,0
3633,original,0.0,0,0,0
3635,original,0.0,0,0,0
3636,original,0.0,1,0,0
3642,original,1.0,0,0,0
3645,original,0.0,1,0,0
3653,original,0.0,1,0,0
3657,original,0.0,3,0,1
3662,original,1.0,0,0,0
3687,original,0.0,0,0,0
3691,original,0.0,1,2,0
3704,original,0.0,48,1,15
3710,original,0.0,0,0,0
3718,original,0.0,1,0,0
3726,original,0.0,0,0,0
3731,original,0.0,0,1,0
3744,original,1.0,0,0,0
3795,original,0.0,0,0,0
3806,original,0.0,0,1,1
3812,original,0.0,0,2,0
3816,original,0.0,0,0,0
3836,original,0.0,0,0,0
3843,original,1.0,0,0,0
3874,original,0.0,0,0,1
3875,original,0.0,0,0,0
3878,original,0.0,1,0,0
3882,original,0.0,1,2,0
3883,original,0.0,0,0,0
3885,original,1.0,0,0,0
3895,original,0.0,13,0,3
3904,original,0.0,1,0,1
3923,original,0.0,0,0,0
3925,original,0.0,21,2,4
3933,original,0.0,10,1,2
3934,original,0.0,2,1,0
3942,original,0.0,14,1,5
3958,original,0.0,0,0,0
3969,original,0.0,0,1,0
3975,original,0.0,0,0,0
3980,original,0.0,0,0,0
3985,original,0.0,0,0,0
4005,original,0.0,4,1,2
4012,original,0.0,4,0,0
4019,original,0.0,1,0,0
4021,original,0.0,5,0,1
4023,original,0.0,0,0,0
4027,original,0.0,1,0,0
4034,original,0.0,20,2,9
4040,original,0.0,0,1,0
4048,original,1.0,1,0,0
4056,original,0.0,8,2,0
4068,original,1.0,0,0,0
4069,original,0.0,1175,28,341
4071,original,0.0,0,0,0
4097,original,0.0,24,0,10
4116,original,0.0,2,0,0
4118,original,0.0,0,0,0
4119,original,0.0,0,0,0
4122,original,0.0,2,0,1
4140,original,0.0,0,0,0
4164,original,0.0,0,1,0
4174,original,0.0,1,0,0
4179,original,0.0,1,0,0
4182,original,0.0,0,0,0
4183,original,0.0,10,1,5
4189,original,0.0,0,0,0
4221,original,0.0,0,0,0
4226,original,0.0,0,0,0
4239,original,0.0,0,0,0
4242,original,1.0,1563,70,405
4243,original,0.0,1,0,1
4255,original,0.0,0,1,2
4271,original,0.0,0,0,0
4277,original,0.0,2,0,1
4280,original,0.0,134,8,37
4281,original,0.0,2583,75,786
4300,original,0.0,1,0,0
4304,original,0.0,0,0,0
4307,original,0.0,4,1,0
4309,original,0.0,0,0,0
4335,original,0.0,1,0,0
4336,original,1.0,1,1,0
4338,original,0.0,21,1,5
4341,original,0.0,0,1,0
4342,original,0.0,3,1,0
4344,original,0.0,0,0,0
4347,original,0.0,12,0,1
4349,original,0.0,23,3,5
4365,original,0.0,11,2,3
4380,original,0.0,14,0,0
4387,original,0.0,0,0,0
4402,original,1.0,0,0,0
4407,original,0.0,0,0,0
4410,original,0.0,0,0,0
4468,original,0.0,2,1,0
4486,original,0.0,13,2,2
4495,original,0.0,0,0,0
4508,original,0.0,1,0,1
4509,original,0.0,0,0,0
4512,original,0.0,1,0,0
4513,original,0.0,7,1,0
4516,original,0.0,0,0,0
4517,original,1.0,13,3,6
4519,original,0.0,0,0,1
4529,original,0.0,0,1,0
4541,original,0.0,2,1,0
4552,original,0.0,1,0,0
4560,original,0.0,0,0,0
4563,original,0.0,0,0,0
4564,original,0.0,0,0,0
4570,original,0.0,0,0,0
4577,original,0.0,1,0,0
4578,original,0.0,2,1,1
4584,original,0.0,5,1,2
4588,original,1.0,75,4,15
4593,original,1.0,6,5,4
4620,original,0.0,1,1,1
4623,original,0.0,5,1,0
4625,original,0.0,0,0,0
4629,original,0.0,0,0,0
4641,original,1.0,0,1,0
4664,original,1.0,0,0,0
4670,original,0.0,2,1,0
4672,original,1.0,1,0,1
4673,original,0.0,1,0,0
4674,original,0.0,0,0,0
4675,original,1.0,0,0,0
4684,original,0.0,0,1,0
4689,original,0.0,842,72,128
4697,original,0.0,5,0,0
4698,original,0.0,3,0,1
4702,original,0.0,1,0,0
4709,original,0.0,24,4,2
4712,original,0.0,0,0,0
4724,original,0.0,0,0,0
4749,original,0.0,3,0,0
4758,original,0.0,15,1,3
4761,original,0.0,0,0,0
4774,original,0.0,10,0,2
4799,original,0.0,1,0,0
4803,original,0.0,4,1,1
4807,original,1.0,0,0,0
4818,original,0.0,16,2,2
4819,original,0.0,0,1,0
4839,original,0.0,0,0,0
4840,original,0.0,1,0,0
4845,original,0.0,1,1,0
4846,original,0.0,0,0,0
4848,original,0.0,0,0,0
4851,original,0.0,0,1,0
4855,original,0.0,2,0,0
4864,original,0.0,59,6,28
4887,original,1.0,3,2,0
4889,original,1.0,6,1,3
4902,original,0.0,0,1,0
4937,original,0.0,1,0,0
4947,original,1.0,4,1,0
4983,original,0.0,3,0,1
5057,original,0.0,1,0,1
5068,original,0.0,0,0,1
5069,original,0.0,3,1,0
5071,original,1.0,2,0,0
5082,original,0.0,0,0,0
5088,original,0.0,2,2,0
5100,original,0.0,0,0,0
5104,original,0.0,1,0,0
5137,original,0.0,0,0,0
5138,original,0.0,3,1,1
5139,original,0.0,0,0,0
5140,original,0.0,0,1,0
5156,original,0.0,1,0,1
5174,original,0.0,1,0,0
5195,original,0.0,0,0,0
5201,original,0.0,2,0,0
5204,original,0.0,0,0,0
5236,original,0.0,17,1,4
5238,original,0.0,5,1,1
5242,original,0.0,0,0,0
5246,original,0.0,2,0,0
5248,original,0.0,1,0,0
5250,original,1.0,15,12,1
5251,original,1.0,42,13,15
5254,original,0.0,0,0,1
5260,original,0.0,1,0,1
5262,original,0.0,1,0,0
5277,original,0.0,1,0,0
5284,original,0.0,1,0,0
5286,original,0.0,0,0,0
5289,original,0.0,1,0,0
5295,original,0.0,1,0,0
5297,original,0.0,6,0,3
5301,original,0.0,30,2,4
5308,original,0.0,5,0,0
5323,original,0.0,0,0,1
5334,original,0.0,1,0,1
5342,original,0.0,0,0,0
5356,original,0.0,1,0,0
5358,original,1.0,2,0,0
5375,original,1.0,0,0,0
5377,original,0.0,5,0,1
5381,original,1.0,0,0,0
5382,original,0.0,2,0,0
5383,original,0.0,1,1,0
5390,original,1.0,1,0,0
5391,original,0.0,5,2,1
5392,original,1.0,0,0,0
5394,original,1.0,0,0,1
5397,original,0.0,0,0,0
5404,original,1.0,1,0,2
5405,original,0.0,3,0,0
5406,original,1.0,1,0,0
5407,original,1.0,1,0,0
5409,original,1.0,2,0,0
5410,original,0.0,1,0,0
5413,original,1.0,0,0,0
5415,original,1.0,0,0,0
5417,original,0.0,5,3,2
5419,original,1.0,4,2,1
5422,original,0.0,0,0,0
5423,original,1.0,0,0,0
5424,original,0.0,3,1,0
5427,original,1.0,1,0,0
5429,original,0.0,1,0,0
5437,original,1.0,0,0,0
5439,original,0.0,0,0,0
5440,original,0.0,0,0,0
5441,original,0.0,1,0,0
5442,original,0.0,0,0,0
5446,original,0.0,7,1,1
5453,original,0.0,0,0,0
5456,original,0.0,0,1,0
5460,original,1.0,0,0,0
5462,original,1.0,0,1,0
5465,original,1.0,0,0,0
5469,original,1.0,0,0,0
5471,original,1.0,0,0,0
5472,original,0.0,3,2,5
5474,original,1.0,0,0,0
5476,original,1.0,1,0,0
5482,original,0.0,0,0,0
5483,original,1.0,1,0,1
5489,original,1.0,0,0,1
5491,original,0.0,0,1,0
5492,original,1.0,0,0,0
5509,original,1.0,0,0,0
5520,original,1.0,0,1,0
5534,original,0.0,3,0,3
5542,original,1.0,4,1,0
5545,original,1.0,1,0,0
5547,original,0.0,0,0,0
5552,original,1.0,0,0,0
5560,original,1.0,0,0,0
5563,original,1.0,0,0,0
5566,original,1.0,0,0,0
5571,original,1.0,0,0,0
5572,original,1.0,0,0,0
5576,original,1.0,0,0,0
