,bot,followers_count
1247,0.0,576
1248,1.0,10
1249,0.0,3006
1250,1.0,1188
1251,0.0,5190
1252,0.0,1314
1253,0.0,376
1254,0.0,763315
1255,0.0,88
1256,0.0,3123
1257,0.0,1205
1258,0.0,129
1259,0.0,294
1260,0.0,465
1261,0.0,1046
1262,0.0,106
1263,0.0,3716
1264,0.0,13101
1265,0.0,100
1266,0.0,1057
1267,0.0,1222
1268,0.0,656
1269,1.0,6876
1270,1.0,3111
1271,0.0,307
1272,0.0,1340
1273,0.0,168
1274,0.0,249
1275,0.0,90325
1276,0.0,514
1277,0.0,2077
1278,0.0,346
1279,0.0,4057
1280,0.0,581
1281,0.0,3186
1282,0.0,1121
1283,0.0,68
1284,0.0,860
1285,0.0,309
1286,0.0,45
1287,0.0,705
1288,0.0,91
1289,0.0,487
1290,0.0,350
1291,0.0,4
1292,0.0,390
1293,0.0,408
1294,1.0,4179
1295,0.0,480
1296,0.0,530
1297,0.0,5266
1298,0.0,32
1299,0.0,2562
1300,0.0,570
1301,0.0,775
1302,1.0,1323
1303,0.0,675
1304,0.0,48
1305,1.0,96
1306,1.0,7780
1307,0.0,377
1308,0.0,1019
1309,1.0,2979
1310,0.0,433
1311,0.0,1702
1312,0.0,510
1313,0.0,3386
1314,0.0,2020
1315,0.0,611
1316,0.0,498
1317,0.0,1177
1318,0.0,780
1319,0.0,276
1320,0.0,405
1321,0.0,200
1322,0.0,858
1323,0.0,3642
1324,0.0,498
1325,0.0,905
1326,0.0,459
1327,0.0,295
1328,0.0,369
1329,0.0,358
1330,0.0,974
1331,0.0,515
1332,0.0,5179
1333,0.0,392
1334,0.0,775
1335,0.0,2097
1336,0.0,306
1337,0.0,369
1338,0.0,335
1339,0.0,3488
1340,0.0,5107
1341,0.0,7069
1342,0.0,1959
1343,0.0,1112
1344,0.0,1173
1345,0.0,381
1346,0.0,701
1347,0.0,66
1348,0.0,236
1349,0.0,869
1350,1.0,2224
1351,0.0,2553
1352,0.0,1660
1353,0.0,640
1354,0.0,552
1355,1.0,3519
1356,1.0,10900
1357,0.0,1383
1358,0.0,1311
